X,Y,Id,ORIG_FID,Lat
248973.88477483671,1456432.8470230382,0,0,
248823.97695467528,1456263.4926886149,0,1,
248805.40669595636,1456331.3981244527,0,2,
248741.9619413577,1456338.8118940648,0,3,
248748.93055901211,1456284.1373002511,0,4,
248798.04403250571,1456218.6431959979,0,5,
248804.51369748078,1456239.9614338595,0,6,
248703.11493385956,1456186.0012868028,0,7,
248442.19919870887,1456181.0152716059,0,8,
248451.46361101419,1456180.8145816177,0,9,
248461.24931780435,1456180.4785030615,0,10,
248423.3521224279,1456181.394256616,0,11,
248453.97318058927,1456052.8574632071,0,12,
248554.98185591586,1456069.6992331259,0,13,
248597.51435929816,1456022.1236648951,0,14,
248603.30698654056,1456032.1492167022,0,15,
248642.74793754797,1456051.5047021788,0,16,
248649.56680094358,1456065.1969930939,0,17,
248637.15462621953,1456079.8235361408,0,18,
248653.97876913287,1456099.2152016293,0,19,
248647.47441366594,1456097.9339201041,0,20,
248665.19153254107,1456131.2169291042,0,21,
248663.67821605224,1456147.7286853492,0,22,
248669.44978750218,1456170.7059920393,0,23,
248786.21905723866,1456116.0884033609,0,24,
248807.1716376245,1456123.5197972488,0,25,
248798.25366900396,1456122.5512206685,0,26,
248811.20769714285,1456166.158887729,0,27,
248808.69349840842,1456158.3926293775,0,28,
248814.76822255831,1456176.6813763138,0,29,
248870.12172240019,1456146.7868154831,0,30,
248890.83177478239,1456153.7712757885,0,31,
248932.31434560474,1455960.5309243891,0,32,
248218.92758179642,1456005.686830543,0,33,
248836.15134077985,1455842.552980097,0,34,
248031.81639877707,1455362.0091544259,0,35,
248819.66811059602,1455159.0079123359,0,36,
248662.04355511907,1455233.6881494485,0,37,
248432.68394529819,1455020.5751532353,0,38,
248427.45526297111,1455040.2156462558,0,39,
250158.00404959172,1456149.0799994022,0,40,
249218.69077638723,1455960.0206476711,0,41,
249213.89064106718,1455948.9407017175,0,42,
249206.56658597756,1455954.0820840672,0,43,
249099.62621596362,1455876.6817644909,0,44,
249092.7970256852,1455873.1514317803,0,45,
249102.73702881392,1455846.989123499,0,46,
249105.89094335306,1455838.0901130401,0,47,
248985.31853894889,1455967.7947589979,0,48,
249002.93781910557,1455962.0142486412,0,49,
249011.7912113769,1455963.3269332442,0,50,
249010.61840273254,1455952.5940699745,0,51,
249027.57918439433,1455956.0060327537,0,52,
249042.8723816257,1455955.8974530697,0,53,
249050.17414367851,1455866.9773704708,0,54,
249048.95118044131,1455884.9062418882,0,55,
249017.97833203804,1455910.6800173912,0,56,
249011.95904916432,1455916.6000813153,0,57,
249102.66475080326,1455861.0244544167,0,58,
249711.74527793936,1455815.962998895,0,59,
249711.99878095556,1455824.4627768695,0,60,
249688.66549198702,1455901.045951942,0,61,
249776.48381008301,1455784.6639787666,0,62,
249807.37310527265,1455798.7489167973,0,63,
249796.961416048,1455804.0670326184,0,64,
249810.65868029185,1455775.9743900057,0,65,
249847.02541369572,1455803.2695293799,0,66,
249857.30151145253,1455786.0822646283,0,67,
249888.98782186583,1455793.3644304201,0,68,
249867.97249571141,1455837.9356155694,0,69,
249927.83248263597,1455757.8533408474,0,70,
249823.93564764224,1455689.8484751657,0,71,
249823.40816632658,1455701.7683221865,0,72,
249817.77867436502,1455667.8864804413,0,73,
249808.94419194665,1455663.3822884038,0,74,
249771.10804945696,1455659.1668734513,0,75,
249764.71160328109,1455647.3169889301,0,76,
249798.62167092506,1455637.9427916389,0,77,
249797.97508647665,1455626.1820299942,0,78,
249790.38835572079,1455619.9286527,0,79,
249780.59721838683,1455620.1892055068,0,80,
249775.99345918,1455613.786276035,0,81,
249725.87365619838,1455580.4425889812,0,82,
249719.80571215786,1455568.8886208795,0,83,
249724.92877371423,1455556.8663496953,0,84,
249966.42329735029,1455907.9588421825,0,85,
249986.0795534132,1455908.9820026644,0,86,
250002.10222341772,1455898.4715395179,0,87,
250013.33312135749,1455902.6503381375,0,88,
250028.44953692518,1455890.0840626154,0,89,
250008.97277930379,1455866.442698013,0,90,
250048.22258908581,1455838.9329364002,0,91,
250040.01965080667,1455912.1574190892,0,92,
250055.5395391034,1455920.8014525659,0,93,
250081.79948745575,1455919.941555012,0,94,
250089.10200206097,1455812.4411316775,0,95,
249284.60293452255,1455660.7042333893,0,96,
249290.01270828396,1455661.6303927582,0,97,
249183.66709849052,1455708.8241146691,0,98,
249195.77993169613,1455686.4054930154,0,99,
249155.06546540186,1455705.0014047641,0,100,
249142.94812538009,1455684.3362400513,0,101,
249149.27363484353,1455686.5129856355,0,102,
249143.48095562588,1455672.5592480451,0,103,
249158.30438629724,1455677.9739980306,0,104,
249158.36211974919,1455748.8616295196,0,105,
249136.83822253346,1455745.0913094766,0,106,
249148.85032989085,1455767.4221874736,0,107,
249166.04497063067,1455660.0151256807,0,108,
249156.04709888343,1455657.4777008165,0,109,
249174.3498539459,1455645.4372538757,0,110,
249159.20018913411,1455644.4866030607,0,111,
249172.48522984888,1455633.6015260182,0,112,
249201.0917911008,1455598.0633764751,0,113,
249204.91338086408,1455605.5769672561,0,114,
249192.71400443185,1455604.5855945162,0,115,
249189.02293844055,1455593.2503262423,0,116,
249131.22243005317,1455607.0479865167,0,117,
249114.3066124497,1455580.8552706297,0,118,
249101.46640900522,1455586.6123270933,0,119,
249097.59356540162,1455578.6403640229,0,120,
249068.20375902113,1455592.4103670456,0,121,
249070.72529415786,1455619.2041761,0,122,
249069.38436296489,1455630.3399688955,0,123,
249061.06140431296,1455617.6048826296,0,124,
249203.77219873667,1455544.2300969902,0,125,
249176.95844501909,1455526.6798051391,0,126,
249260.28081532009,1455592.701769568,0,127,
249253.74860861711,1455596.6300102733,0,128,
249282.46521118935,1455562.4494038541,0,129,
249272.88015177473,1455553.8040999901,0,130,
249265.95256489702,1455575.1516499817,0,131,
249297.34867981449,1455521.7858685385,0,132,
249277.46454545576,1455511.8937076684,0,133,
249266.90764934104,1455526.3002989795,0,134,
249291.25805802736,1455489.1870090663,0,135,
249285.66050435696,1455498.9404323716,0,136,
249300.75892409869,1455470.3547870368,0,137,
249311.47680097818,1455451.7670249119,0,138,
249338.34043196589,1455414.7553624697,0,139,
249315.45397213753,1455435.7153835148,0,140,
249321.30711407028,1455435.4754340015,0,141,
249332.25783772115,1455417.5655445568,0,142,
249327.58603223786,1455425.5623751115,0,143,
249047.13271760195,1455562.4292254038,0,144,
249028.23006294295,1455568.5069021508,0,145,
249026.09646167699,1455559.4417214207,0,146,
249010.4380886713,1455559.1489706058,0,147,
249042.35247612465,1455376.0804053023,0,148,
249060.38734062016,1455392.802442601,0,149,
249051.00240265299,1455387.7541919071,0,150,
249167.45057542529,1455497.0108654033,0,151,
249186.61394728627,1455489.5720256642,0,152,
249207.97168084327,1455504.9947387502,0,153,
249224.30303288065,1455515.5151992831,0,154,
249244.77520924062,1455529.7531183846,0,155,
249245.64406148531,1455422.5314411726,0,156,
249239.29479550291,1455411.5793820396,0,157,
249245.06035955902,1455435.4293141533,0,158,
249231.13106042519,1455468.7555137519,0,159,
249304.00358240027,1455383.3410754874,0,160,
249359.01602368336,1455418.988113109,0,161,
249344.69007146265,1455405.107368838,0,162,
249343.93388512265,1455394.4176043272,0,163,
249350.31129127648,1455385.9275745545,0,164,
249360.82147084922,1455370.5898295734,0,165,
249371.3915309431,1455355.130063761,0,166,
249382.37844104506,1455335.5093167052,0,167,
249386.74840128887,1455330.1257329565,0,168,
249380.65257601347,1455342.8963785376,0,169,
249383.47602756601,1455380.6026421059,0,170,
249391.87075534742,1455361.5111287236,0,171,
249407.88498490117,1455340.8685210086,0,172,
249398.71252607647,1455346.8330154717,0,173,
249404.21898945142,1455357.8448963705,0,174,
249397.10226892028,1455355.4556148984,0,175,
249389.11821303237,1455310.088634301,0,176,
249391.86984871235,1455292.234538177,0,177,
249413.39961322024,1455275.6771383528,0,178,
249413.72746046353,1455254.516024271,0,179,
249430.44627329148,1455256.3341392558,0,180,
249455.52882345859,1455245.1422418728,0,181,
249461.23067437205,1455261.7296323907,0,182,
249437.17927365843,1455225.9545104187,0,183,
249434.80639486108,1455212.9836608991,0,184,
249448.81611037999,1455209.6102166511,0,185,
249477.93693410233,1455203.2976609189,0,186,
249496.86617218982,1455215.8404676262,0,187,
249507.30568048637,1455218.351406008,0,188,
249513.56954577565,1455240.2995010708,0,189,
249501.86273041554,1455195.1670038011,0,190,
249483.40714310389,1455193.5102886185,0,191,
249492.88050941098,1455155.1256287433,0,192,
249497.84009490628,1455148.8820895292,0,193,
249492.2855414683,1455140.9877567124,0,194,
249535.63822193351,1455333.1957069803,0,195,
249543.04160657618,1455340.3437574878,0,196,
249574.80818722211,1455422.5876696464,0,197,
